                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.10803,                0.41405,               0.034041,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.10736,                0.33193,               0.028301,                      0,                    0.1,                      0,                      0
                      1,                0.11616,                0.41016,               0.032929,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.10729,                0.32567,               0.028076,                      0,               0.099098,              9.802e-05,              9.802e-05
                      2,                0.11886,                0.35083,                0.03205,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.10725,                0.31438,               0.027931,                      0,               0.098192,             0.00019208,             0.00019208
                      3,               0.099764,                0.13039,                0.03608,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.10666,                 0.2967,               0.027813,                      0,               0.097282,             0.00028218,             0.00028218
                      4,               0.088897,                0.10494,               0.037079,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.1062,                0.28654,               0.027794,                      0,               0.096368,             0.00036832,             0.00036832
                      5,                0.13818,                0.34884,               0.034692,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.10593,                0.26611,               0.027737,                      0,               0.095451,              0.0004505,              0.0004505
                      6,                0.12094,                 0.1911,               0.032156,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.10555,                0.24923,               0.027531,                      0,               0.094529,             0.00052872,             0.00052872
                      7,                0.10731,                0.20172,               0.033007,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  0.106,                0.23954,               0.027485,                      0,               0.093603,             0.00060298,             0.00060298
                      8,                0.08712,                0.12272,               0.035616,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.10463,                0.22484,               0.027477,                      0,               0.092673,             0.00067328,             0.00067328
                      9,               0.080681,                0.12439,               0.031427,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.10289,                0.20431,               0.027676,                      0,                0.09174,             0.00073962,             0.00073962
                     10,                 0.1147,                0.20421,               0.040714,                      0,              0.0033333,                      1,              0.0037689,             0.00075379,              0.0033333,                      1,              0.0037689,             0.00037689,                0.10266,                0.19758,               0.027931,                      0,               0.090802,               0.000802,               0.000802
                     11,               0.088656,                0.14007,               0.036295,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.10096,                0.17565,               0.028076,                      0,                0.08986,             0.00086042,             0.00086042
                     12,               0.087041,                 0.0706,               0.036046,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.10283,                0.18151,                 0.0275,                      0,               0.088915,             0.00091488,             0.00091488
                     13,               0.083771,               0.040829,                0.03768,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.10414,                0.18437,               0.027397,                      0,               0.087965,             0.00096538,             0.00096538
                     14,                0.10237,                0.13344,               0.033042,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.10458,                0.17938,               0.026653,                      0,               0.087012,              0.0010119,              0.0010119
                     15,               0.083599,                0.13353,               0.033392,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.11041,                0.17656,               0.026024,                      0,               0.086055,              0.0010545,              0.0010545
                     16,                0.11623,                0.12316,               0.032893,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.11807,                0.17482,               0.024704,                      0,               0.085093,              0.0010931,              0.0010931
                     17,                0.12498,               0.083773,               0.032447,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.12122,                0.19253,               0.025459,                      0,               0.084128,              0.0011278,              0.0011278
                     18,                0.13842,                0.16149,               0.030285,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.11988,                0.23406,               0.025787,                      0,               0.083158,              0.0011585,              0.0011585
                     19,                      0,                      0,               0.027941,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.11994,                0.26111,               0.025948,                      0,               0.082185,              0.0011852,              0.0011852
                     20,                      0,                      0,               0.027677,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.12045,                0.27483,               0.025787,                      0,               0.081208,               0.001208,               0.001208
                     21,                0.12647,                0.14186,               0.030865,                      0,              0.0033333,                      1,              0.0040283,              0.0012085,              0.0033333,                      1,              0.0040283,             0.00040283,                 0.1186,                0.25071,                0.02544,                      0,               0.080227,              0.0012268,              0.0012268
